"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"0103","ABIE.BAL",0.25,1.1522602028141,1.1522602028141,1.05,0
"0104","ABIE.BAL",0.3,1.38271224337692,1.38271224337692,1.05,0
"0105","ABIE.BAL",0.35,1.61316428393974,1.61316428393974,1.05,0
"0106","ABIE.BAL",0.4,1.84361632450256,1.84361632450256,1.05,0
"0107","ABIE.BAL",0.45,2.07406836506538,2.07406836506538,1.05,0
"0108","ABIE.BAL",0.5,2.3045204056282,2.3045204056282,1.05,0
"0109","ABIE.BAL",0.55,2.53497244619102,2.53497244619102,1.05,0
"0110","ABIE.BAL",0.6,2.76542448675385,2.76542448675385,1.05,0
"0111","ABIE.BAL",0.65,2.99587652731667,2.99587652731667,1.05,0
"0112","ABIE.BAL",0.7,3.22632856787949,3.22632856787949,1.05,0
"0113","ABIE.BAL",0.75,3.45678060844231,3.45678060844231,1.05,0
"0114","ABIE.BAL",0.8,3.68723264900513,3.68723264900513,1.05,0
"0115","ABIE.BAL",0.85,3.91768468956795,3.91768468956795,1.05,0
"0116","ABIE.BAL",0.9,4.14813673013077,4.14813673013077,1.05,0
"0117","ABIE.BAL",0.95,4.37858877069359,4.37858877069359,1.05,0
"0118","ABIE.BAL",1,4.60904081125641,4.60904081125641,1.05,0
"0119","ABIE.BAL",0.2,0.921808162251282,0.921808162251282,1.1,0
"0120","ABIE.BAL",0.25,1.1522602028141,1.1522602028141,1.1,0
"0121","ABIE.BAL",0.3,1.38271224337692,1.38271224337692,1.1,0
"0122","ABIE.BAL",0.35,1.61316428393974,1.61316428393974,1.1,0
"0123","ABIE.BAL",0.4,1.84361632450256,1.84361632450256,1.1,0
"0124","ABIE.BAL",0.45,2.07406836506538,2.07406836506538,1.1,0
"0125","ABIE.BAL",0.5,2.3045204056282,2.3045204056282,1.1,0
"0126","ABIE.BAL",0.55,2.53497244619102,2.53497244619102,1.1,0
"0127","ABIE.BAL",0.6,2.76542448675385,2.76542448675385,1.1,0
"0128","ABIE.BAL",0.65,2.99587652731667,2.99587652731667,1.1,0
"0129","ABIE.BAL",0.7,3.22632856787949,3.22632856787949,1.1,0
"0130","ABIE.BAL",0.75,3.45678060844231,3.45678060844231,1.1,0
"0131","ABIE.BAL",0.8,3.68723264900513,3.68723264900513,1.1,0
"0132","ABIE.BAL",0.85,3.91768468956795,3.91768468956795,1.1,0
"0133","ABIE.BAL",0.9,4.14813673013077,4.14813673013077,1.1,0
"0134","ABIE.BAL",0.95,4.37858877069359,4.37858877069359,1.1,0
"0135","ABIE.BAL",1,4.60904081125641,4.60904081125641,1.1,0
"0136","ABIE.BAL",0.2,0.921808162251282,0.921808162251282,1.15,0
"0137","ABIE.BAL",0.25,1.1522602028141,1.1522602028141,1.15,0
"0138","ABIE.BAL",0.3,1.38271224337692,1.38271224337692,1.15,0
"0139","ABIE.BAL",0.35,1.61316428393974,1.61316428393974,1.15,0
"0140","ABIE.BAL",0.4,1.84361632450256,1.84361632450256,1.15,0
"0141","ABIE.BAL",0.45,2.07406836506538,2.07406836506538,1.15,0
"0142","ABIE.BAL",0.5,2.3045204056282,2.3045204056282,1.15,0
"0143","ABIE.BAL",0.55,2.53497244619102,2.53497244619102,1.15,0
"0144","ABIE.BAL",0.6,2.76542448675385,2.76542448675385,1.15,0
"0145","ABIE.BAL",0.65,2.99587652731667,2.99587652731667,1.15,0
"0146","ABIE.BAL",0.7,3.22632856787949,3.22632856787949,1.15,0
"0147","ABIE.BAL",0.75,3.45678060844231,3.45678060844231,1.15,0
"0148","ABIE.BAL",0.8,3.68723264900513,3.68723264900513,1.15,0
"0149","ABIE.BAL",0.85,3.91768468956795,3.91768468956795,1.15,0
"0150","ABIE.BAL",0.9,4.14813673013077,4.14813673013077,1.15,0
"0151","ABIE.BAL",0.95,4.37858877069359,4.37858877069359,1.15,0
"0152","ABIE.BAL",1,4.60904081125641,4.60904081125641,1.15,0
"0153","ABIE.BAL",0.2,0.921808162251282,0.921808162251282,1.2,0
"0154","ABIE.BAL",0.25,1.1522602028141,1.1522602028141,1.2,0
"0155","ABIE.BAL",0.3,1.38271224337692,1.38271224337692,1.2,0
"0156","ABIE.BAL",0.35,1.61316428393974,1.61316428393974,1.2,0
